metric,count,mean,std,min,25%,50%,75%,max
mean_intensity,179.0,101.75842511054523,21.798225305209407,42.64567184448242,87.09247207641602,97.69554138183594,115.67083740234375,163.26174926757812
std_intensity,179.0,55.21871352595324,12.542517803452967,31.71077919006348,46.237308502197266,53.40446853637695,63.644927978515625,88.52500915527344
dynamic_range_p99_p1,179.0,196.3631284916201,30.04747149040237,106.0,174.0,198.0,218.5,252.0
robust_range_p95_p5,179.0,166.47486033519553,32.42230443877846,90.0,144.5,161.0,187.5,242.0
entropy,179.0,7.359907157602705,0.2535847598598907,6.213879880837206,7.221865490483581,7.374542701245972,7.5168162202284705,7.892710793271428
laplacian_var,179.0,3876.94060729469,4938.811836744002,46.75592803955078,563.1705627441406,1392.0294189453125,6051.736572265625,27673.443359375
tenengrad,179.0,3388.811920336505,2807.176691073856,247.84002685546875,1411.541259765625,2564.306396484375,4748.43115234375,20909.70703125
scharr_mean,179.0,117.24928701390101,42.708045301027944,40.9760971069336,94.61117172241211,115.49081420898438,136.33114624023438,425.38519287109375
edge_density_canny,179.0,0.04982745683918727,0.03639490353340507,0.0010044634985082,0.02265063226098675,0.0478820677235776,0.06806856321539535,0.2701633761159752
hf_residual_std,179.0,8.167244888550742,3.375834679062978,1.6508886814117432,5.489663124084473,7.656036376953125,10.477715015411377,20.88526153564453
high_frequency_energy_ratio,179.0,0.00959876680638709,0.012144031575071162,0.0001574041234562,0.00153178523760285,0.0048493589274585,0.0130833592265844,0.0677186101675033
background_fraction,179.0,0.0403754989155198,0.012953427689862386,0.0,0.04025786478337485,0.0452553057532456,0.0482712225103802,0.0499489975291035
center_offset,179.0,0.020377043635551317,0.011604989667240082,0.0024946245872888,0.01303328627193185,0.0194705758312182,0.0236015020756923,0.0727054150803968
border_artifact_score,179.0,0.04716968834388393,0.03315829065303212,0.0013819468660803,0.018830161766211502,0.0437224669603524,0.06681798457184054,0.1532529808190772
